9,9,16,32,278408,278408,0,795960120,Flat Combining (SkipList),Spin Parker
10,10,16,32,269702,269702,0,263885610,Flat Combining (SkipList),Spin Parker
11,11,16,32,268672,268672,0,797947320,Flat Combining (SkipList),Spin Parker
12,12,16,32,291669,291669,0,1848557070,Flat Combining (SkipList),Spin Parker
13,13,16,32,282078,282078,0,1163255670,Flat Combining (SkipList),Spin Parker
14,14,16,32,284310,284310,0,1065636000,Flat Combining (SkipList),Spin Parker
15,15,16,32,280213,280213,0,1601368320,Flat Combining (SkipList),Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,16,32,183198,183198,0,974351790,Flat Combining (SkipList),BlockParker
1,1,16,32,179311,179311,0,1461579180,Flat Combining (SkipList),BlockParker
2,2,16,32,166113,166113,0,487060290,Flat Combining (SkipList),BlockParker
3,3,16,32,169763,169763,0,243396990,Flat Combining (SkipList),BlockParker
4,4,16,32,182759,182759,0,974475120,Flat Combining (SkipList),BlockParker
5,5,16,32,179557,179557,0,1218100830,Flat Combining (SkipList),BlockParker
6,6,16,32,149519,149519,0,2793470490,Flat Combining (SkipList),BlockParker
7,7,16,32,197438,197438,0,,Flat Combining (SkipList),BlockParker
8,8,16,32,171097,171097,0,1461761310,Flat Combining (SkipList),BlockParker
9,9,16,32,183756,183756,0,730603380,Flat Combining (SkipList),BlockParker
10,10,16,32,159569,159569,0,243542910,Flat Combining (SkipList),BlockParker
11,11,16,32,164794,164794,0,,Flat Combining (SkipList),BlockParker
12,12,16,32,162275,162275,0,487096410,Flat Combining (SkipList),BlockParker
13,13,16,32,168707,168707,0,,Flat Combining (SkipList),BlockParker
14,14,16,32,169786,169786,0,3166377630,Flat Combining (SkipList),BlockParker
15,15,16,32,201498,201498,0,730580640,Flat Combining (SkipList),BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,16,32,610233,610233,0,3430642050,Flat Combining,Spin Parker
