Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,8,32,96855013,116702,1172,,RCL,BlockParker
1,1,8,32,290570093,116700,3506,,RCL,BlockParker
2,2,8,32,96824256,116702,1172,,RCL,BlockParker
3,3,8,32,290642322,116700,3506,,RCL,BlockParker
4,4,8,32,96795206,116700,1172,,RCL,BlockParker
5,5,8,32,290553228,116699,3506,,RCL,BlockParker
6,6,8,32,96824560,116700,1172,,RCL,BlockParker
7,7,8,32,290587057,116699,3506,,RCL,BlockParker
0,0,16,32,95980661,115733,1162,3877959240,Flat Combining (SkipList),Spin Parker
1,1,16,32,100555579,40349,1212,2665991850,Flat Combining (SkipList),Spin Parker
2,2,16,32,96123339,115913,1164,5358867660,Flat Combining (SkipList),Spin Parker
3,3,16,32,100453058,40424,1214,4120511970,Flat Combining (SkipList),Spin Parker
4,4,16,32,95757035,115694,1162,5816755050,Flat Combining (SkipList),Spin Parker
5,5,16,32,100453597,40346,1212,1696356450,Flat Combining (SkipList),Spin Parker
6,6,16,32,96219640,116008,1165,3150672540,Flat Combining (SkipList),Spin Parker
7,7,16,32,100572874,40404,1214,3151132050,Flat Combining (SkipList),Spin Parker
8,8,16,32,96166687,115876,1164,6058445970,Flat Combining (SkipList),Spin Parker
9,9,16,32,100721464,40424,1214,3150385050,Flat Combining (SkipList),Spin Parker
10,10,16,32,96012251,115680,1162,6544166430,Flat Combining (SkipList),Spin Parker
11,11,16,32,100628060,40386,1213,1696122210,Flat Combining (SkipList),Spin Parker
12,12,16,32,96110612,115827,1163,3876990090,Flat Combining (SkipList),Spin Parker
13,13,16,32,100686319,40414,1214,3151360440,Flat Combining (SkipList),Spin Parker
14,14,16,32,96244499,115987,1165,3877579320,Flat Combining (SkipList),Spin Parker
15,15,16,32,100459064,40320,1211,1696201770,Flat Combining (SkipList),Spin Parker
0,0,16,32,87725229,106255,1067,2664951660,Flat Combining (SkipList),BlockParker
1,1,16,32,97248686,39128,1175,10417436970,Flat Combining (SkipList),BlockParker
2,2,16,32,87015724,105577,1060,6539818290,Flat Combining (SkipList),BlockParker
3,3,16,32,97464545,39169,1177,5086935240,Flat Combining (SkipList),BlockParker
4,4,16,32,86691401,105043,1055,4359467190,Flat Combining (SkipList),BlockParker
5,5,16,32,97135959,39064,1174,1453447920,Flat Combining (SkipList),BlockParker
6,6,16,32,86271010,104771,1052,5325844110,Flat Combining (SkipList),BlockParker
7,7,16,32,97276411,39124,1175,1453891500,Flat Combining (SkipList),BlockParker
8,8,16,32,86879557,105287,1057,2420971200,Flat Combining (SkipList),BlockParker
9,9,16,32,96964578,39015,1172,4601636010,Flat Combining (SkipList),BlockParker
10,10,16,32,86130917,104623,1051,3634195470,Flat Combining (SkipList),BlockParker
11,11,16,32,97010739,39021,1172,726927180,Flat Combining (SkipList),BlockParker
12,12,16,32,86792151,105174,1056,,Flat Combining (SkipList),BlockParker
13,13,16,32,88607568,35622,1070,5387515500,Flat Combining (SkipList),BlockParker
14,14,16,32,86747562,105108,1056,727311780,Flat Combining (SkipList),BlockParker
15,15,16,32,97070423,39036,1173,5088021810,Flat Combining (SkipList),BlockParker
0,0,16,32,48544532,58512,588,4300978290,Flat Combining,Spin Parker
1,1,16,32,148157367,59477,1787,3291533040,Flat Combining,Spin Parker
2,2,16,32,50991205,61463,617,2856062790,Flat Combining,Spin Parker
3,3,16,32,156083042,62660,1882,523301790,Flat Combining,Spin Parker
4,4,16,32,49300477,59454,597,6751794870,Flat Combining,Spin Parker
5,5,16,32,151526160,60821,1827,3973231470,Flat Combining,Spin Parker
6,6,16,32,51334850,61902,622,2004076830,Flat Combining,Spin Parker
7,7,16,32,150390863,60371,1814,4832126010,Flat Combining,Spin Parker
8,8,16,32,50386661,60776,610,4193315310,Flat Combining,Spin Parker
9,9,16,32,150528424,60434,1815,4734786120,Flat Combining,Spin Parker
10,10,16,32,51282619,61838,621,2138107680,Flat Combining,Spin Parker
11,11,16,32,152820589,61353,1843,2992068210,Flat Combining,Spin Parker
12,12,16,32,49635264,59906,602,5898497040,Flat Combining,Spin Parker
13,13,16,32,149623632,60088,1805,5351295030,Flat Combining,Spin Parker
14,14,16,32,50516465,61004,613,3733910070,Flat Combining,Spin Parker
15,15,16,32,153681265,61745,1855,2236765830,Flat Combining,Spin Parker
0,0,16,32,50774576,61380,616,12090060,Flat Combining,BlockParker
1,1,16,32,123880734,49798,1496,10793632680,Flat Combining,BlockParker
2,2,16,32,46157449,55869,561,5462125380,Flat Combining,BlockParker
3,3,16,32,127035782,51075,1534,20130756870,Flat Combining,BlockParker
4,4,16,32,50796807,61313,616,125059830,Flat Combining,BlockParker
5,5,16,32,152821828,61374,1844,17612250,Flat Combining,BlockParker
6,6,16,32,50752667,61360,616,50465310,Flat Combining,BlockParker
7,7,16,32,126188255,50739,1524,20774537010,Flat Combining,BlockParker
8,8,16,32,50869252,61350,616,22207440,Flat Combining,BlockParker
9,9,16,32,152845939,61369,1844,29335560,Flat Combining,BlockParker
10,10,16,32,50684360,61060,613,652924920,Flat Combining,BlockParker
11,11,16,32,152074817,61062,1834,629283330,Flat Combining,BlockParker
12,12,16,32,50908545,61345,616,78713880,Flat Combining,BlockParker
13,13,16,32,152401571,61227,1839,306755160,Flat Combining,BlockParker
14,14,16,32,50845664,61246,615,278178060,Flat Combining,BlockParker
15,15,16,32,152705521,61312,1842,140593380,Flat Combining,BlockParker
0,0,16,32,94267225,114332,1148,5945194020,Flat Combining Fair,Spin Parker
1,1,16,32,96662554,38865,1168,4286461350,Flat Combining Fair,Spin Parker
2,2,16,32,92858379,112568,1131,3610004460,Flat Combining Fair,Spin Parker
3,3,16,32,96637285,38865,1168,2903580180,Flat Combining Fair,Spin Parker
4,4,16,32,93732849,113640,1141,3915110250,Flat Combining Fair,Spin Parker
5,5,16,32,96673726,38865,1168,3010774920,Flat Combining Fair,Spin Parker
6,6,16,32,94023380,113997,1145,3566594160,Flat Combining Fair,Spin Parker
7,7,16,32,96681740,38864,1168,2624602500,Flat Combining Fair,Spin Parker
8,8,16,32,93754404,113711,1142,4019751120,Flat Combining Fair,Spin Parker
9,9,16,32,96659973,38864,1168,3209274300,Flat Combining Fair,Spin Parker
10,10,16,32,94887652,115049,1156,3841446120,Flat Combining Fair,Spin Parker
11,11,16,32,96698122,38864,1168,3001205730,Flat Combining Fair,Spin Parker
12,12,16,32,95031604,115228,1157,4170215160,Flat Combining Fair,Spin Parker
13,13,16,32,96675117,38863,1168,3458142240,Flat Combining Fair,Spin Parker
14,14,16,32,94498864,114652,1152,4192231650,Flat Combining Fair,Spin Parker
15,15,16,32,96670228,38864,1168,3463266270,Flat Combining Fair,Spin Parker
0,0,16,32,82313410,99603,1000,18887519040,Flat Combining Fair,BlockParker
1,1,16,32,91829169,36921,1109,4533031110,Flat Combining Fair,BlockParker
